type=table
n=450
m=450
p=112

clients = {c0, c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15, c16, c17, c18, c19, 
f100, f101, f102, f103, f104, f105, f106, f107, f108, f109, f110, f111, f112, f113, f114, f115, f116, f117, f118, f119, 
f120, f121, f122, f123, f124, f125, f126, f127, f128, f129, f130, f131, f132, f133, f134, f135, f136, f137, f138, f139, 
f140, f141, f142, f143, f144, f145, f146, f147, f148, f149, f150, f151, f152, f153, f154, f155, f156, f157, f158, f159, 
f160, f161, f162, f163, f164, f165, f166, f167, f168, f169, f170, f171, f172, f173, f174, f175, f176, f177, f178, f179, 
f180, f181, f182, f183, f184, f185, f186, f187, f188, f189, f190, f191, f192, f193, f194, f195, f196, f197, f198, f199, 
f200, f201, f202, f203, f204, f205, f206, f207, f208, f209, f210, f211, f212, f213, f214, f215, f216, f217, f218, f219, 
f220, f221, f222, f223, f224, f225, f226, f227, f228, f229, f230, f231, f232, f233, f234, f235, f236, f237, f238, f239, 
f240, f241, f242, f243, f244, f245, f246, f247, f248, f249, f250, f251, f252, f253, f254, f255, f256, f257, f258, f259, 
f260, f261, f262, f263, f264, f265, f266, f267, f268, f269, f270, f271, f272, f273, f274, f275, f276, f277, f278, f279, 
f280, f281, f282, f283, f284, f285, f286, f287, f288, f289, f290, f291, f292, f293, f294, f295, f296, f297, f298, f299, 
f300, f301, f302, f303, f304, f305, f306, f307, f308, f309, f310, f311, f312, f313, f314, f315, f316, f317, f318, f319, 
f320, f321, f322, f323, f324, f325, f326, f327, f328, f329, f330, f331, f332, f333, f334, f335, f336, f337, f338, f339, 
f340, f341, f342, f343, f344, f345, f346, f347, f348, f349, f350, f351, f352, f353, f354, f355, f356, f357, f358, f359, 
f360, f361, f362, f363, f364, f365, f366, f367, f368, f369, f370, f371, f372, f373, f374, f375, f376, f377, f378, f379, 
f380, f381, f382, f383, f384, f385, f386, f387, f388, f389, f390, f391, f392, f393, f394, f395, f396, f397, f398, f399, 
f400, f401, f402, f403, f404, f405, f406, f407, f408, f409, f410, f411, f412, f413, f414, f415, f416, f417, f418, f419, 
f420, f421, f422, f423, f424, f425, f426, f427, f428, f429, f430, f431, f432, f433, f434, f435, f436, f437, f438, f439, 
f440, f441, f442, f443, f444, f445, f446, f447, f448, f449}

table = {
{23.0,30.0,33.0,34.0,35.0,22.0,29.0,23.0,15.0,35.0,29.0,40.0,32.0,30.0,37.0,31.0,26.0,20.0,26.0,29.0,
19.0,28.0,29.0,32.0,27.0,32.0,31.0,31.0,27.0,20.0,26.0,32.0,31.0,31.0,29.0,32.0,31.0,31.0,30.0,28.0,
36.0,22.0,33.0,24.0,31.0,27.0,31.0,34.0,39.0,27.0,26.0,24.0,17.0,25.0,22.0,35.0,34.0,24.0,22.0,26.0,
24.0,27.0,40.0,21.0,37.0,28.0,28.0,33.0,26.0,36.0,35.0,23.0,28.0,36.0,31.0,39.0,39.0,30.0,26.0,25.0,
29.0,20.0,20.0,30.0,28.0,35.0,29.0,27.0,34.0,26.0,37.0,25.0,25.0,30.0,33.0,32.0,38.0,25.0,27.0,27.0,
33.0,30.0,23.0,31.0,29.0,26.0,30.0,40.0,35.0,28.0,33.0,36.0,26.0,26.0,27.0,32.0,33.0,19.0,30.0,28.0,
29.0,41.0,26.0,32.0,38.0,40.0,36.0,43.0,26.0,24.0,29.0,31.0,29.0,23.0,34.0,29.0,33.0,25.0,33.0,30.0,
24.0,27.0,27.0,39.0,24.0,34.0,35.0,29.0,31.0,36.0,35.0,22.0,28.0,33.0,34.0,31.0,21.0,29.0,29.0,32.0,
26.0,29.0,28.0,32.0,19.0,29.0,21.0,27.0,24.0,31.0,27.0,31.0,29.0,28.0,24.0,27.0,23.0,35.0,34.0,36.0,
35.0,27.0,33.0,22.0,33.0,27.0,41.0,30.0,26.0,38.0,36.0,42.0,31.0,23.0,17.0,29.0,37.0,26.0,31.0,27.0,
25.0,32.0,29.0,35.0,35.0,28.0,31.0,31.0,33.0,38.0,38.0,31.0,30.0,28.0,28.0,30.0,28.0,30.0,38.0,24.0,
32.0,33.0,25.0,31.0,26.0,29.0,38.0,11.0,27.0,27.0,25.0,26.0,29.0,20.0,38.0,26.0,18.0,35.0,46.0,29.0,
8.0,20.0,28.0,23.0,38.0,22.0,30.0,20.0,31.0,34.0,29.0,29.0,37.0,30.0,31.0,10.0,29.0,26.0,24.0,26.0,
27.0,26.0,33.0,25.0,26.0,27.0,26.0,34.0,27.0,27.0,27.0,34.0,29.0,32.0,30.0,25.0,28.0,20.0,27.0,33.0,
27.0,18.0,26.0,39.0,23.0,27.0,31.0,27.0,26.0,35.0,43.0,30.0,31.0,26.0,26.0,32.0,22.0,28.0,30.0,30.0,
24.0,35.0,37.0,40.0,30.0,25.0,30.0,31.0,29.0,33.0,32.0,30.0,36.0,27.0,39.0,42.0,25.0,24.0,29.0,26.0,
39.0,24.0,28.0,31.0,28.0,37.0,30.0,28.0,20.0,35.0,15.0,22.0,26.0,29.0,30.0,28.0,34.0,25.0,28.0,28.0,
31.0,30.0,32.0,28.0,32.0,34.0,31.0,33.0,30.0,25.0,30.0,34.0,31.0,35.0,33.0,32.0,31.0,29.0,35.0,24.0,
18.0,34.0,37.0,31.0,25.0,40.0,30.0,30.0,31.0,29.0,27.0,22.0,24.0,38.0,28.0,21.0,33.0,34.0,20.0,31.0,
30.0,30.0,46.0,32.0,29.0,33.0,40.0,28.0,28.0,31.0,24.0,21.0,30.0,24.0,28.0,25.0,28.0,36.0,32.0,28.0,
26.0,36.0,33.0,28.0,32.0,33.0,24.0,28.0,30.0,31.0,27.0,27.0,28.0,37.0,29.0,27.0,28.0,31.0,40.0,23.0,
26.0,23.0,31.0,38.0,24.0,38.0,33.0,31.0,29.0,34.0,38.0,40.0,30.0,23.0,29.0,28.0,35.0,32.0,13.0,31.0,
24.0,30.0,45.0,23.0,35.0,31.0,28.0,21.0,29.0,34.0},
{18.0,25.0,22.0,25.0,24.0,17.0,16.0,21.0,17.0,30.0,18.0,27.0,23.0,18.0,28.0,16.0,15.0,17.0,25.0,21.0,
14.0,20.0,21.0,11.0,21.0,27.0,30.0,23.0,24.0,5.0,23.0,23.0,21.0,18.0,17.0,20.0,23.0,21.0,21.0,19.0,
33.0,14.0,22.0,13.0,20.0,16.0,23.0,20.0,28.0,15.0,21.0,19.0,5.0,20.0,11.0,28.0,21.0,16.0,17.0,21.0,
13.0,8.0,22.0,6.0,26.0,24.0,21.0,21.0,18.0,18.0,23.0,21.0,14.0,23.0,16.0,32.0,28.0,17.0,19.0,20.0,
22.0,14.0,23.0,14.0,16.0,21.0,17.0,27.0,37.0,15.0,28.0,22.0,22.0,16.0,25.0,15.0,30.0,14.0,16.0,7.0,
17.0,19.0,14.0,24.0,13.0,15.0,10.0,24.0,22.0,14.0,24.0,25.0,15.0,21.0,7.0,11.0,23.0,14.0,10.0,7.0,
20.0,24.0,6.0,26.0,21.0,31.0,25.0,32.0,5.0,13.0,14.0,15.0,17.0,21.0,21.0,8.0,23.0,15.0,12.0,20.0,
10.0,22.0,22.0,21.0,3.0,23.0,18.0,17.0,17.0,24.0,27.0,16.0,22.0,25.0,21.0,19.0,16.0,18.0,24.0,13.0,
20.0,16.0,24.0,30.0,8.0,24.0,17.0,22.0,26.0,21.0,19.0,18.0,20.0,10.0,17.0,17.0,12.0,17.0,23.0,21.0,
20.0,15.0,25.0,11.0,27.0,22.0,20.0,25.0,17.0,18.0,19.0,29.0,23.0,18.0,22.0,21.0,26.0,11.0,23.0,16.0,
19.0,21.0,11.0,16.0,30.0,22.0,20.0,22.0,14.0,22.0,34.0,18.0,20.0,12.0,14.0,22.0,25.0,26.0,23.0,19.0,
29.0,22.0,10.0,24.0,24.0,18.0,32.0,16.0,22.0,13.0,19.0,18.0,21.0,18.0,26.0,15.0,10.0,22.0,39.0,21.0,
13.0,13.0,24.0,25.0,37.0,11.0,28.0,13.0,22.0,14.0,19.0,8.0,24.0,19.0,12.0,12.0,15.0,11.0,19.0,13.0,
26.0,20.0,21.0,14.0,21.0,16.0,11.0,21.0,21.0,25.0,16.0,19.0,17.0,16.0,19.0,15.0,19.0,15.0,18.0,20.0,
15.0,23.0,18.0,29.0,17.0,22.0,19.0,23.0,25.0,24.0,35.0,20.0,23.0,15.0,15.0,21.0,14.0,17.0,13.0,29.0,
15.0,27.0,30.0,29.0,25.0,17.0,22.0,15.0,27.0,21.0,22.0,13.0,17.0,21.0,24.0,31.0,27.0,24.0,22.0,23.0,
28.0,19.0,17.0,16.0,19.0,23.0,10.0,18.0,15.0,28.0,14.0,21.0,21.0,24.0,25.0,16.0,25.0,13.0,19.0,7.0,
20.0,24.0,22.0,16.0,20.0,24.0,23.0,24.0,21.0,10.0,18.0,23.0,10.0,25.0,20.0,21.0,17.0,17.0,19.0,19.0,
13.0,26.0,25.0,20.0,20.0,26.0,23.0,20.0,13.0,10.0,25.0,17.0,22.0,27.0,19.0,18.0,18.0,29.0,15.0,25.0,
18.0,17.0,31.0,19.0,22.0,24.0,32.0,14.0,27.0,22.0,8.0,15.0,24.0,22.0,10.0,20.0,23.0,23.0,26.0,22.0,
14.0,17.0,13.0,16.0,21.0,21.0,17.0,20.0,24.0,23.0,12.0,21.0,13.0,29.0,18.0,18.0,23.0,20.0,29.0,14.0,
15.0,8.0,19.0,20.0,24.0,24.0,21.0,19.0,23.0,19.0,24.0,31.0,20.0,17.0,18.0,21.0,28.0,17.0,8.0,16.0,
12.0,19.0,30.0,18.0,27.0,19.0,7.0,16.0,14.0,21.0},
{12.0,21.0,26.0,31.0,27.0,25.0,19.0,25.0,33.0,24.0,22.0,33.0,26.0,23.0,18.0,18.0,24.0,27.0,15.0,25.0,
25.0,20.0,18.0,23.0,18.0,20.0,25.0,29.0,21.0,23.0,20.0,30.0,26.0,27.0,20.0,31.0,24.0,25.0,16.0,18.0,
38.0,22.0,16.0,20.0,25.0,21.0,23.0,26.0,35.0,18.0,20.0,15.0,21.0,22.0,22.0,30.0,27.0,22.0,28.0,20.0,
19.0,25.0,36.0,24.0,31.0,27.0,22.0,27.0,2.0,26.0,29.0,26.0,26.0,24.0,22.0,37.0,34.0,27.0,22.0,26.0,
28.0,25.0,23.0,22.0,26.0,34.0,27.0,24.0,37.0,21.0,31.0,18.0,19.0,24.0,27.0,22.0,28.0,23.0,14.0,25.0,
30.0,17.0,19.0,31.0,21.0,26.0,20.0,32.0,18.0,24.0,27.0,32.0,22.0,23.0,11.0,28.0,28.0,16.0,14.0,21.0,
25.0,38.0,12.0,25.0,26.0,40.0,32.0,37.0,23.0,17.0,24.0,11.0,27.0,5.0,25.0,26.0,21.0,21.0,26.0,24.0,
8.0,18.0,28.0,35.0,21.0,24.0,31.0,30.0,15.0,22.0,27.0,20.0,24.0,26.0,29.0,22.0,14.0,21.0,27.0,19.0,
23.0,22.0,31.0,33.0,22.0,24.0,25.0,24.0,24.0,27.0,17.0,14.0,20.0,20.0,25.0,1.0,21.0,26.0,33.0,27.0,
33.0,19.0,33.0,19.0,27.0,27.0,27.0,29.0,29.0,24.0,31.0,28.0,22.0,25.0,26.0,28.0,30.0,29.0,23.0,23.0,
26.0,25.0,25.0,21.0,29.0,26.0,25.0,27.0,31.0,32.0,34.0,24.0,18.0,18.0,14.0,30.0,30.0,26.0,32.0,23.0,
21.0,26.0,16.0,22.0,27.0,29.0,26.0,17.0,24.0,29.0,26.0,26.0,21.0,26.0,30.0,24.0,18.0,30.0,39.0,29.0,
20.0,20.0,33.0,25.0,36.0,21.0,35.0,26.0,17.0,20.0,22.0,26.0,27.0,22.0,24.0,28.0,23.0,26.0,25.0,19.0,
24.0,26.0,24.0,21.0,29.0,21.0,17.0,24.0,23.0,24.0,25.0,30.0,27.0,16.0,17.0,21.0,25.0,22.0,22.0,31.0,
21.0,25.0,22.0,11.0,21.0,24.0,27.0,21.0,7.0,20.0,41.0,21.0,20.0,22.0,20.0,30.0,22.0,20.0,28.0,27.0,
28.0,28.0,20.0,29.0,32.0,25.0,20.0,31.0,29.0,24.0,25.0,25.0,25.0,25.0,33.0,38.0,32.0,21.0,31.0,30.0,
32.0,15.0,26.0,28.0,23.0,26.0,18.0,28.0,23.0,21.0,17.0,24.0,29.0,23.0,29.0,25.0,35.0,20.0,27.0,25.0,
25.0,22.0,22.0,23.0,25.0,25.0,25.0,19.0,27.0,27.0,28.0,26.0,24.0,7.0,21.0,24.0,17.0,27.0,24.0,25.0,
21.0,18.0,13.0,12.0,28.0,26.0,29.0,30.0,26.0,27.0,23.0,13.0,30.0,38.0,12.0,15.0,30.0,31.0,17.0,24.0,
22.0,13.0,43.0,20.0,30.0,22.0,26.0,20.0,17.0,7.0,14.0,13.0,22.0,20.0,21.0,24.0,19.0,25.0,30.0,27.0,
22.0,33.0,21.0,26.0,21.0,27.0,24.0,24.0,21.0,27.0,30.0,24.0,19.0,35.0,25.0,16.0,27.0,18.0,32.0,12.0,
28.0,26.0,29.0,24.0,34.0,30.0,28.0,22.0,22.0,27.0,36.0,35.0,22.0,19.0,23.0,25.0,12.0,30.0,19.0,22.0,
21.0,11.0,40.0,20.0,28.0,24.0,22.0,14.0,32.0,25.0},
{21.0,15.0,25.0,23.0,31.0,22.0,16.0,21.0,29.0,30.0,24.0,29.0,23.0,8.0,24.0,12.0,20.0,23.0,20.0,22.0,
25.0,16.0,16.0,9.0,15.0,28.0,24.0,28.0,24.0,19.0,18.0,29.0,23.0,22.0,7.0,29.0,21.0,18.0,18.0,9.0,
32.0,17.0,27.0,19.0,11.0,18.0,22.0,28.0,33.0,15.0,19.0,18.0,19.0,27.0,23.0,27.0,31.0,21.0,15.0,11.0,
12.0,22.0,30.0,20.0,16.0,24.0,21.0,21.0,16.0,26.0,14.0,19.0,23.0,21.0,23.0,28.0,27.0,16.0,19.0,22.0,
25.0,24.0,17.0,24.0,27.0,29.0,18.0,27.0,31.0,15.0,29.0,21.0,17.0,18.0,26.0,20.0,29.0,20.0,14.0,21.0,
24.0,17.0,18.0,32.0,21.0,27.0,16.0,28.0,24.0,24.0,25.0,29.0,21.0,24.0,16.0,22.0,21.0,22.0,17.0,15.0,
21.0,27.0,17.0,25.0,23.0,38.0,15.0,35.0,19.0,25.0,18.0,25.0,15.0,18.0,21.0,22.0,24.0,17.0,20.0,24.0,
13.0,17.0,21.0,28.0,17.0,24.0,21.0,20.0,18.0,20.0,23.0,18.0,23.0,27.0,23.0,9.0,21.0,26.0,21.0,24.0,
23.0,18.0,22.0,21.0,20.0,26.0,27.0,22.0,20.0,18.0,21.0,24.0,18.0,22.0,21.0,17.0,25.0,25.0,29.0,26.0,
29.0,19.0,23.0,17.0,28.0,27.0,25.0,30.0,25.0,29.0,18.0,30.0,25.0,24.0,28.0,24.0,32.0,25.0,22.0,22.0,
22.0,24.0,21.0,18.0,20.0,17.0,14.0,25.0,25.0,29.0,31.0,24.0,21.0,16.0,8.0,21.0,30.0,23.0,23.0,21.0,
23.0,20.0,21.0,20.0,18.0,23.0,30.0,23.0,24.0,20.0,22.0,17.0,20.0,21.0,30.0,21.0,17.0,21.0,34.0,21.0,
20.0,21.0,32.0,19.0,39.0,25.0,31.0,23.0,17.0,25.0,25.0,22.0,24.0,23.0,11.0,26.0,17.0,25.0,19.0,21.0,
18.0,26.0,26.0,28.0,28.0,18.0,20.0,15.0,23.0,27.0,20.0,27.0,17.0,19.0,20.0,20.0,21.0,21.0,23.0,21.0,
14.0,19.0,18.0,29.0,17.0,23.0,13.0,11.0,25.0,25.0,38.0,18.0,18.0,19.0,23.0,27.0,13.0,25.0,11.0,30.0,
23.0,25.0,34.0,27.0,30.0,14.0,23.0,25.0,27.0,26.0,22.0,10.0,19.0,21.0,27.0,38.0,29.0,24.0,26.0,26.0,
36.0,20.0,23.0,17.0,21.0,23.0,12.0,22.0,22.0,18.0,17.0,21.0,22.0,21.0,24.0,27.0,27.0,24.0,20.0,21.0,
21.0,22.0,16.0,21.0,10.0,24.0,24.0,21.0,26.0,24.0,19.0,15.0,18.0,25.0,28.0,29.0,11.0,18.0,21.0,21.0,
18.0,23.0,23.0,21.0,25.0,20.0,28.0,24.0,20.0,24.0,27.0,20.0,25.0,35.0,9.0,20.0,19.0,34.0,23.0,26.0,
19.0,23.0,32.0,27.0,29.0,15.0,27.0,17.0,22.0,21.0,17.0,15.0,24.0,22.0,4.0,25.0,18.0,22.0,26.0,9.0,
18.0,28.0,21.0,16.0,19.0,19.0,25.0,20.0,26.0,23.0,26.0,26.0,16.0,30.0,23.0,20.0,23.0,21.0,31.0,9.0,
18.0,22.0,22.0,21.0,22.0,23.0,30.0,24.0,19.0,20.0,33.0,37.0,24.0,18.0,14.0,31.0,25.0,25.0,19.0,25.0,
23.0,22.0,33.0,26.0,27.0,21.0,19.0,7.0,28.0,7.0},
{22.0,23.0,23.0,28.0,35.0,25.0,15.0,15.0,30.0,29.0,26.0,34.0,23.0,14.0,24.0,22.0,25.0,29.0,17.0,22.0,
24.0,27.0,13.0,18.0,14.0,27.0,30.0,28.0,26.0,20.0,17.0,28.0,22.0,22.0,16.0,30.0,22.0,24.0,22.0,14.0,
38.0,10.0,28.0,24.0,10.0,27.0,23.0,32.0,30.0,14.0,17.0,19.0,21.0,28.0,20.0,26.0,30.0,21.0,25.0,16.0,
17.0,23.0,36.0,25.0,25.0,23.0,19.0,22.0,18.0,26.0,23.0,16.0,22.0,16.0,26.0,33.0,30.0,22.0,18.0,23.0,
31.0,28.0,24.0,22.0,31.0,30.0,18.0,26.0,38.0,14.0,24.0,22.0,16.0,25.0,24.0,19.0,22.0,19.0,19.0,21.0,
21.0,22.0,16.0,29.0,24.0,24.0,22.0,33.0,27.0,28.0,20.0,29.0,22.0,26.0,25.0,21.0,29.0,22.0,26.0,22.0,
22.0,34.0,24.0,25.0,30.0,39.0,24.0,30.0,23.0,30.0,20.0,24.0,24.0,17.0,28.0,24.0,22.0,20.0,27.0,24.0,
22.0,16.0,24.0,21.0,19.0,33.0,30.0,27.0,24.0,27.0,29.0,17.0,23.0,33.0,16.0,13.0,22.0,27.0,16.0,30.0,
22.0,19.0,28.0,26.0,25.0,24.0,31.0,27.0,26.0,27.0,25.0,23.0,23.0,24.0,24.0,19.0,23.0,25.0,23.0,23.0,
36.0,22.0,21.0,22.0,28.0,30.0,27.0,27.0,31.0,26.0,17.0,34.0,24.0,24.0,28.0,25.0,33.0,26.0,23.0,20.0,
29.0,30.0,24.0,25.0,25.0,10.0,19.0,31.0,24.0,31.0,29.0,29.0,27.0,26.0,15.0,18.0,31.0,21.0,31.0,20.0,
30.0,23.0,21.0,27.0,24.0,25.0,31.0,26.0,25.0,20.0,28.0,14.0,21.0,20.0,33.0,20.0,14.0,27.0,41.0,22.0,
24.0,18.0,35.0,26.0,43.0,26.0,30.0,22.0,21.0,32.0,28.0,25.0,26.0,28.0,10.0,28.0,24.0,26.0,18.0,22.0,
17.0,31.0,19.0,23.0,27.0,17.0,22.0,16.0,22.0,26.0,26.0,26.0,16.0,25.0,26.0,20.0,25.0,21.0,27.0,20.0,
13.0,26.0,19.0,29.0,16.0,23.0,18.0,14.0,27.0,29.0,39.0,17.0,22.0,18.0,28.0,26.0,10.0,26.0,20.0,29.0,
24.0,26.0,33.0,30.0,31.0,7.0,29.0,23.0,21.0,19.0,21.0,9.0,26.0,20.0,26.0,41.0,28.0,23.0,30.0,32.0,
36.0,19.0,19.0,19.0,27.0,23.0,19.0,29.0,21.0,13.0,21.0,14.0,27.0,16.0,17.0,29.0,32.0,29.0,28.0,23.0,
21.0,28.0,19.0,23.0,19.0,28.0,22.0,25.0,26.0,25.0,25.0,8.0,25.0,27.0,31.0,27.0,12.0,24.0,23.0,27.0,
21.0,22.0,29.0,23.0,28.0,29.0,34.0,31.0,19.0,21.0,31.0,21.0,24.0,33.0,8.0,19.0,21.0,33.0,23.0,24.0,
25.0,22.0,34.0,31.0,35.0,20.0,20.0,24.0,19.0,23.0,22.0,19.0,21.0,21.0,13.0,22.0,17.0,15.0,25.0,22.0,
21.0,31.0,26.0,15.0,23.0,28.0,22.0,17.0,25.0,24.0,29.0,30.0,21.0,30.0,26.0,19.0,24.0,27.0,38.0,18.0,
24.0,23.0,28.0,27.0,30.0,32.0,36.0,17.0,22.0,25.0,32.0,33.0,27.0,18.0,7.0,31.0,28.0,22.0,22.0,27.0,
28.0,24.0,28.0,26.0,26.0,32.0,19.0,16.0,29.0,20.0},
{23.0,31.0,23.0,28.0,30.0,24.0,21.0,20.0,23.0,35.0,19.0,25.0,26.0,25.0,33.0,26.0,18.0,29.0,16.0,26.0,
22.0,28.0,21.0,26.0,20.0,33.0,31.0,22.0,20.0,25.0,27.0,27.0,28.0,26.0,26.0,30.0,32.0,29.0,26.0,20.0,
39.0,17.0,17.0,22.0,20.0,22.0,20.0,27.0,29.0,20.0,27.0,25.0,22.0,32.0,17.0,30.0,36.0,22.0,32.0,22.0,
27.0,19.0,32.0,26.0,12.0,1.0,29.0,26.0,24.0,23.0,23.0,24.0,21.0,26.0,27.0,39.0,29.0,17.0,24.0,30.0,
25.0,20.0,27.0,20.0,25.0,31.0,22.0,27.0,38.0,25.0,30.0,24.0,26.0,20.0,21.0,21.0,27.0,25.0,22.0,20.0,
28.0,25.0,26.0,26.0,25.0,21.0,18.0,33.0,20.0,28.0,26.0,33.0,17.0,28.0,27.0,32.0,28.0,26.0,27.0,17.0,
29.0,34.0,28.0,24.0,19.0,33.0,13.0,35.0,22.0,18.0,24.0,17.0,22.0,23.0,25.0,26.0,28.0,20.0,22.0,21.0,
24.0,22.0,33.0,34.0,23.0,15.0,28.0,29.0,25.0,20.0,33.0,7.0,23.0,29.0,25.0,26.0,24.0,13.0,21.0,27.0,
25.0,24.0,28.0,27.0,20.0,34.0,22.0,33.0,29.0,19.0,20.0,16.0,17.0,25.0,24.0,25.0,23.0,27.0,23.0,27.0,
27.0,23.0,21.0,23.0,26.0,13.0,31.0,21.0,30.0,29.0,21.0,30.0,23.0,26.0,27.0,24.0,27.0,28.0,24.0,17.0,
25.0,20.0,24.0,14.0,31.0,21.0,23.0,31.0,30.0,31.0,36.0,25.0,24.0,25.0,18.0,25.0,30.0,28.0,34.0,22.0,
27.0,23.0,27.0,24.0,27.0,33.0,32.0,24.0,29.0,20.0,23.0,21.0,22.0,28.0,34.0,26.0,13.0,22.0,45.0,27.0,
21.0,15.0,30.0,28.0,42.0,18.0,35.0,15.0,27.0,29.0,20.0,25.0,26.0,10.0,14.0,21.0,19.0,23.0,27.0,28.0,
27.0,26.0,23.0,15.0,29.0,23.0,26.0,29.0,12.0,21.0,19.0,31.0,26.0,26.0,23.0,20.0,7.0,27.0,31.0,27.0,
17.0,29.0,12.0,27.0,6.0,25.0,24.0,19.0,33.0,22.0,38.0,18.0,30.0,24.0,18.0,28.0,17.0,12.0,28.0,32.0,
17.0,36.0,37.0,29.0,29.0,20.0,26.0,26.0,26.0,23.0,25.0,13.0,15.0,2.0,30.0,35.0,31.0,24.0,25.0,25.0,
31.0,25.0,25.0,28.0,26.0,32.0,14.0,24.0,27.0,22.0,20.0,21.0,26.0,26.0,21.0,19.0,36.0,14.0,26.0,27.0,
27.0,30.0,24.0,23.0,27.0,27.0,23.0,25.0,22.0,22.0,22.0,24.0,20.0,33.0,23.0,23.0,21.0,21.0,17.0,22.0,
22.0,17.0,22.0,25.0,27.0,22.0,28.0,23.0,30.0,17.0,30.0,23.0,31.0,30.0,14.0,23.0,30.0,36.0,27.0,23.0,
21.0,15.0,43.0,22.0,29.0,30.0,29.0,26.0,18.0,29.0,29.0,14.0,23.0,11.0,23.0,16.0,23.0,26.0,7.0,29.0,
21.0,30.0,18.0,25.0,27.0,21.0,19.0,14.0,24.0,17.0,32.0,22.0,31.0,12.0,20.0,18.0,25.0,24.0,27.0,28.0,
29.0,24.0,23.0,30.0,22.0,30.0,22.0,21.0,21.0,23.0,24.0,38.0,18.0,18.0,23.0,32.0,33.0,16.0,20.0,27.0,
15.0,24.0,30.0,30.0,21.0,26.0,21.0,26.0,25.0,27.0},
{24.0,29.0,11.0,13.0,35.0,25.0,20.0,22.0,31.0,37.0,14.0,30.0,28.0,18.0,24.0,25.0,22.0,31.0,21.0,26.0,
